donor,recipient,year,aid_amount
Japan,Honduras,2004,29835941
Japan,Honduras,2005,568418636
Japan,Honduras,2006,193095482
Japan,Honduras,2007,51272105
Japan,Honduras,2008,46041299
Japan,Honduras,2009,20792677
Japan,Honduras,2010,12463517
Japan,Honduras,2011,24099616
Japan,Honduras,2012,14518258
Japan,Honduras,2013,20602430
Japan,Hungary,1991,223567065
Japan,Hungary,1992,137199137
Japan,Hungary,1994,117205703
Japan,Hungary,1995,137431114
Japan,Hungary,1996,53310388
Japan,Hungary,1997,986482
Japan,Hungary,1998,487209
Japan,Hungary,2000,955302
Japan,Hungary,2002,1006771
Japan,Hungary,2003,7631271
Japan,Hungary,2004,365436
Japan,India,1990,393987391
Japan,India,1991,2220393582
Japan,India,1992,1909543284
Japan,India,1993,33190482
Japan,India,1994,1274671959
Japan,India,1995,1390436248
Japan,India,1996,1680853374
Japan,India,1997,2821771782
Japan,India,1998,978965072
Japan,India,1999,127350853
Japan,India,2000,4021810
Japan,India,2001,213334062
Japan,India,2002,731407870
Japan,India,2003,1289448503
Japan,India,2004,1481069275
Japan,India,2005,1588017908
Japan,India,2006,2154595558
Japan,India,2007,3042781524
Japan,India,2008,3431798707
Japan,India,2009,1714800333
Japan,India,2010,2719060010
Japan,India,2011,2280417552
Japan,India,2012,3361519665
Japan,India,2013,2555651795
Japan,Indonesia,1990,2099379961
Japan,Indonesia,1991,1805623443
Japan,Indonesia,1992,1805208228
Japan,Indonesia,1993,1843099544
Japan,Indonesia,1994,1768726413
Japan,Indonesia,1995,1953370359
Japan,Indonesia,1996,2635852322
Japan,Indonesia,1997,57741680
Japan,Indonesia,1998,5755726194
Japan,Indonesia,1999,3238004207
Japan,Indonesia,2000,930056451
Japan,Indonesia,2001,2771524615
Japan,Indonesia,2002,605385320
Japan,Indonesia,2003,4015281139
Japan,Indonesia,2004,1604759394
Japan,Indonesia,2005,2239922256
Japan,Indonesia,2006,1509888116
Japan,Indonesia,2007,1915308804
Japan,Indonesia,2008,1484179819
Japan,Indonesia,2009,1715830101
Japan,Indonesia,2010,1239891644
Japan,Indonesia,2011,590562462
Japan,Indonesia,2012,136959200
Japan,Indonesia,2013,488152967
Japan,Iran,1990,3713977
Japan,Iran,1993,403899274
Japan,Iran,1996,516234
Japan,Iran,1999,53178
Japan,Iran,2000,81811321
Japan,Iran,2001,1152194
Japan,Iran,2002,712521
Japan,Iran,2003,23135483
Japan,Iran,2004,41984143
Japan,Iran,2005,16771237
Japan,Iran,2006,13138523
Japan,Iran,2007,10121913
Japan,Iran,2008,9073977
Japan,Iran,2009,10357697
Japan,Iran,2010,22879434
Japan,Iran,2011,15883333
Japan,Iran,2012,20395134
Japan,Iran,2013,11694318
Japan,Iraq,1999,1191195
Japan,Iraq,2003,4098262
Japan,Iraq,2004,818704353
Japan,Iraq,2005,4494426917
Japan,Iraq,2006,2034060470
Japan,Iraq,2007,1188812354
Japan,Iraq,2008,2919957058
Japan,Iraq,2009,450331753
Japan,Iraq,2010,1096752558
Japan,Iraq,2011,16454221
Japan,Iraq,2012,871595629
Japan,Iraq,2013,19871341
Japan,Israel,1993,73038
Japan,Israel,1994,218862
Japan,Israel,1995,629888
Japan,Israel,1996,770656
Japan,Israel,1998,94502
Japan,Israel,2003,897675
Japan,Israel,2004,1013389
Japan,Jamaica,1990,40012637
Japan,Jamaica,1991,91619913
Japan,Jamaica,1992,3196283
Japan,Jamaica,1993,1001662
Japan,Jamaica,1994,6774294
Japan,Jamaica,1995,493412
Japan,Jamaica,1996,91876967
Japan,Jamaica,1997,524724
Japan,Jamaica,1998,4604338
Japan,Jamaica,1999,372248
Japan,Jamaica,2000,398491
Japan,Jamaica,2001,1118402
Japan,Jamaica,2002,920945
Japan,Jamaica,2003,5098976
Japan,Jamaica,2004,4034939
Japan,Jamaica,2005,4357258
Japan,Jamaica,2006,4048394
Japan,Jamaica,2007,3292609
Japan,Jamaica,2008,3865555
Japan,Jamaica,2009,4241181
Japan,Jamaica,2010,4538593
Japan,Jamaica,2011,2546507
Japan,Jamaica,2012,2041176
Japan,Jamaica,2013,1760698
Japan,Jordan,1990,469435734
Japan,Jordan,1991,633770049
Japan,Jordan,1993,375623
Japan,Jordan,1994,204531561
Japan,Jordan,1995,319951719
Japan,Jordan,1996,273537463
Japan,Jordan,1997,104136725
Japan,Jordan,1998,156815225
Japan,Jordan,1999,135604792
Japan,Jordan,2000,111146734
Japan,Jordan,2001,30456291
Japan,Jordan,2002,43540246
Japan,Jordan,2003,244948734
Japan,Jordan,2004,90693889
Japan,Jordan,2005,35825051
Japan,Jordan,2006,38769828
Japan,Jordan,2007,21899997
Japan,Jordan,2008,44183448
Japan,Jordan,2009,51927980
Japan,Jordan,2010,55739264
Japan,Jordan,2011,40364610
Japan,Jordan,2012,180723692
Japan,Jordan,2013,35549822
Japan,Kazakhstan,1994,500256
Japan,Kazakhstan,1995,143992446
Japan,Kazakhstan,1996,520457
Japan,Kazakhstan,1997,234824484
Japan,Kazakhstan,1998,247230340
Japan,Kazakhstan,1999,11493969
Japan,Kazakhstan,2000,178287116
Japan,Kazakhstan,2001,7791752
Japan,Kazakhstan,2002,5250564
Japan,Kazakhstan,2003,265773120
Japan,Kazakhstan,2004,13526892
Japan,Kazakhstan,2005,44989237
Japan,Kazakhstan,2006,7449262
Japan,Kazakhstan,2007,10972901
Japan,Kazakhstan,2008,8221645
Japan,Kazakhstan,2009,6254221
Japan,Kazakhstan,2010,84261575
Japan,Kazakhstan,2011,5180534
Japan,Kazakhstan,2012,4420224
Japan,Kazakhstan,2013,2531762
Japan,Kenya,1990,381600185
Japan,Kenya,1991,111400276
Japan,Kenya,1992,32822159
Japan,Kenya,1993,150197108
Japan,Kenya,1994,46502921
Japan,Kenya,1995,165870564
Japan,Kenya,1996,32050843
Japan,Kenya,1997,184020706
Japan,Kenya,1998,22460975
Japan,Kenya,1999,11929903
Japan,Kenya,2000,21052021
Japan,Kenya,2001,48761677
Japan,Kenya,2002,9096564
Japan,Kenya,2003,61279795
Japan,Kenya,2004,208880592
Japan,Kenya,2005,51198020
Japan,Kenya,2006,167605916
Japan,Kenya,2007,488530975
Japan,Kenya,2008,63268094
Japan,Kenya,2009,116407511
Japan,Kenya,2010,847198821
Japan,Kenya,2011,114106394
Japan,Kenya,2012,481299177
Japan,Kenya,2013,90073252
Japan,Kiribati,1990,6280990
Japan,Kiribati,1991,14137955
Japan,Kiribati,1992,2054005
Japan,Kiribati,1993,2201569
Japan,Kiribati,1995,4545694
Japan,Kiribati,1996,6492513
Japan,Kiribati,1997,25134279
Japan,Kiribati,1998,21000
Japan,Kiribati,1999,53178
Japan,Kiribati,2000,7086681
Japan,Kiribati,2001,13560353
Japan,Kiribati,2002,193547
Japan,Kiribati,2003,1940548
Japan,Kiribati,2004,10746996
Japan,Kiribati,2005,19967761
Japan,Kiribati,2006,2562304
Japan,Kiribati,2007,21863161
Japan,Kiribati,2008,2616735
Japan,Kiribati,2009,8855702
Japan,Kiribati,2010,3173034
Japan,Kiribati,2011,41501320
Japan,Kiribati,2012,2640157
Japan,Kiribati,2013,1245986
Japan,Korea,1990,1088162410
Japan,Korea,1999,4562691796
Japan,Korea,2003,79631857
Japan,Korea,2004,94957474
Japan,"Korea, Democratic Republic of",1995,25038057
Japan,Kosovo,2009,172269
Japan,Kosovo,2010,1176911
Japan,Kosovo,2011,8585372
Japan,Kosovo,2012,3198001
Japan,Kosovo,2013,3136512
Japan,Kuwait,2003,111514
Japan,Kuwait,2004,403872
Japan,Kyrgyz Republic,1992,272470
Japan,Kyrgyz Republic,1993,67820855
Japan,Kyrgyz Republic,1994,33110664
Japan,Kyrgyz Republic,1995,15988663
Japan,Kyrgyz Republic,1996,71808242
Japan,Kyrgyz Republic,1997,42145832
Japan,Kyrgyz Republic,1998,61552168
Japan,Kyrgyz Republic,1999,40283663
Japan,Kyrgyz Republic,2000,236941
Japan,Kyrgyz Republic,2001,12383088
Japan,Kyrgyz Republic,2002,14416408
Japan,Kyrgyz Republic,2003,34638178
Japan,Kyrgyz Republic,2004,24352888
Japan,Kyrgyz Republic,2005,24390278
Japan,Kyrgyz Republic,2006,35850905
Japan,Kyrgyz Republic,2007,20387424
Japan,Kyrgyz Republic,2008,13557192
Japan,Kyrgyz Republic,2009,22392298
Japan,Kyrgyz Republic,2010,31729211
Japan,Kyrgyz Republic,2011,19024420
Japan,Kyrgyz Republic,2012,20762378
Japan,Kyrgyz Republic,2013,24603206
Japan,Laos,1990,27122954
Japan,Laos,1991,29606667
Japan,Laos,1992,31931391
Japan,Laos,1993,42612364
Japan,Laos,1994,58988466
Japan,Laos,1995,64679022
Japan,Laos,1996,111312276
Japan,Laos,1997,78928984
Japan,Laos,1998,122016798
Japan,Laos,1999,61423217
Japan,Laos,2000,77376425
Japan,Laos,2001,122005099
Japan,Laos,2002,57295440
Japan,Laos,2003,61138054
Japan,Laos,2004,88959322
Japan,Laos,2005,114866865
Japan,Laos,2006,128181294
Japan,Laos,2007,85754181
Japan,Laos,2008,45970238
Japan,Laos,2009,80750751
Japan,Laos,2010,113242842
Japan,Laos,2011,118876507
Japan,Laos,2012,131905968
Japan,Laos,2013,128868462
Japan,"Latin America, Regional Programs, Regional Programs",2013,43334
Japan,Latvia,1993,47798051
Japan,Latvia,1998,441008
Japan,Latvia,2001,527589
Japan,Latvia,2002,553171
Japan,Latvia,2003,755685
Japan,Latvia,2004,1008185
Japan,Lebanon,1992,199113
Japan,Lebanon,1994,396036
Japan,Lebanon,1996,21114
Japan,Lebanon,1997,137134518
Japan,Lebanon,1998,732914
Japan,Lebanon,1999,872125
Japan,Lebanon,2000,333871
Japan,Lebanon,2001,1382197
Japan,Lebanon,2002,1889853
Japan,Lebanon,2003,6976842
Japan,Lebanon,2004,5471946
Japan,Lebanon,2005,2704610
Japan,Lebanon,2006,6879750
Japan,Lebanon,2007,2120797
Japan,Lebanon,2008,8320332
Japan,Lebanon,2009,848295
Japan,Lebanon,2010,1007662
Japan,Lebanon,2011,5519614
Japan,Lebanon,2012,4258575
Japan,Lebanon,2013,11401340
Japan,Lesotho,1990,1092346
Japan,Lesotho,1991,1064605
Japan,Lesotho,1992,1047962
Japan,Lesotho,1993,1043398
Japan,Lesotho,1994,1042199
Japan,Lesotho,1995,9248859
Japan,Lesotho,1996,5447376
Japan,Lesotho,1997,5247240
Japan,Lesotho,1998,3349564
Japan,Lesotho,1999,127628
Japan,Lesotho,2000,2427566
Japan,Lesotho,2001,8491572
Japan,Lesotho,2002,3315906
Japan,Lesotho,2003,2544192
Japan,Lesotho,2004,12689804
Japan,Lesotho,2005,808313
Japan,Lesotho,2006,2959694
Japan,Lesotho,2007,7964015
Japan,Lesotho,2008,16294990
Japan,Lesotho,2009,2881793
Japan,Lesotho,2010,9537918
Japan,Lesotho,2011,20239893
Japan,Lesotho,2012,3266265
Japan,Lesotho,2013,2071158
Japan,Liberia,1990,2818253
Japan,Liberia,1999,1680436
Japan,Liberia,2003,3447
Japan,Liberia,2004,3986
Japan,Liberia,2006,23506185
Japan,Liberia,2007,19688959
Japan,Liberia,2008,17299973
Japan,Liberia,2009,16563227
Japan,Liberia,2010,144853269
Japan,Liberia,2011,51359545
Japan,Liberia,2012,60137969
Japan,Liberia,2013,55462369
Japan,Libya,2003,327228
Japan,Libya,2004,388610
Japan,Libya,2005,423364
Japan,Libya,2006,60525
Japan,Libya,2007,598873
Japan,Libya,2008,230338
Japan,Libya,2009,96111
Japan,Libya,2010,145847
Japan,Libya,2011,8185627
Japan,Libya,2012,437893
Japan,Libya,2013,4414844
Japan,Lithuania,1993,69490291
Japan,Lithuania,1998,525010
Japan,Lithuania,1999,494559
Japan,Lithuania,2001,700909
Japan,Lithuania,2002,539895
Japan,Lithuania,2003,3784860
Japan,Lithuania,2004,3290972
Japan,MADCT Unspecified,2003,14786250
Japan,MADCT Unspecified,2004,17057773
Japan,Macao,2003,102841
Japan,Macao,2004,118938
Japan,"Macedonia, FYR",1995,11023043
Japan,"Macedonia, FYR",1997,11470467
Japan,"Macedonia, FYR",1998,17293828
Japan,"Macedonia, FYR",1999,24504585
Japan,"Macedonia, FYR",2000,269251
Japan,"Macedonia, FYR",2001,26214865
Japan,"Macedonia, FYR",2002,6535917
Japan,"Macedonia, FYR",2003,113022198
Japan,"Macedonia, FYR",2004,13564815
Japan,"Macedonia, FYR",2005,5624228
Japan,"Macedonia, FYR",2006,14568115
Japan,"Macedonia, FYR",2007,5718669
Japan,"Macedonia, FYR",2008,3259981
Japan,"Macedonia, FYR",2009,3240831
Japan,"Macedonia, FYR",2010,1966767
Japan,"Macedonia, FYR",2011,2420252
Japan,"Macedonia, FYR",2012,3282465
Japan,"Macedonia, FYR",2013,2087856
Japan,Madagascar,1990,10934385
Japan,Madagascar,1991,79078865
Japan,Madagascar,1992,18045900
Japan,Madagascar,1993,52441172
Japan,Madagascar,1994,39499345
Japan,Madagascar,1995,22098578
Japan,Madagascar,1996,54737685
Japan,Madagascar,1997,13926175
Japan,Madagascar,1998,80095521
Japan,Madagascar,1999,131499425
Japan,Madagascar,2000,8616026
Japan,Madagascar,2001,26159273
Japan,Madagascar,2002,6330603
Japan,Madagascar,2003,50131006
Japan,Madagascar,2004,37189535
Japan,Madagascar,2005,231105425
Japan,Madagascar,2006,39099757
Japan,Madagascar,2007,152830178
Japan,Madagascar,2008,35112261
Japan,Madagascar,2009,15276726
Japan,Madagascar,2010,10494436
Japan,Madagascar,2011,10864916
Japan,Madagascar,2012,13972505
Japan,Madagascar,2013,40774958
Japan,Malawi,1990,71636055
Japan,Malawi,1991,13648237
Japan,Malawi,1992,28787506
Japan,Malawi,1993,14784947
Japan,Malawi,1994,134016376
Japan,Malawi,1995,21668155
Japan,Malawi,1996,68767846
Japan,Malawi,1997,42844954
Japan,Malawi,1998,38053867
Japan,Malawi,1999,29251677
Japan,Malawi,2000,30198309
Japan,Malawi,2001,15212001
Japan,Malawi,2002,20674185
Japan,Malawi,2003,43948128
Japan,Malawi,2004,51406841
Japan,Malawi,2005,49620437
Japan,Malawi,2006,55083467
Japan,Malawi,2007,51463945
Japan,Malawi,2008,30108398
Japan,Malawi,2009,35174242
Japan,Malawi,2010,96609530
Japan,Malawi,2011,34129171
Japan,Malawi,2012,47792353
Japan,Malawi,2013,30759716
Japan,Malaysia,1990,690515662
Japan,Malaysia,1991,9379171
Japan,Malaysia,1992,664460071
Japan,Malaysia,1993,565949379
Japan,Malaysia,1994,645496399
Japan,Malaysia,1995,1889666
Japan,Malaysia,1996,3404611
Japan,Malaysia,1997,514230
Japan,Malaysia,1998,9230725
Japan,Malaysia,1999,2198131246
Japan,Malaysia,2000,1286971485
Japan,Malaysia,2001,1123852
Japan,Malaysia,2002,754914116
Japan,Malaysia,2003,60585597
Japan,Malaysia,2004,469264789
Japan,Malaysia,2005,991660404
Japan,Malaysia,2006,234477262
Japan,Malaysia,2007,36313672
Japan,Malaysia,2008,122043847
Japan,Malaysia,2009,40662648
Japan,Malaysia,2010,29556582
Japan,Malaysia,2011,108510650
Japan,Malaysia,2012,24396392
Japan,Malaysia,2013,8891800
Japan,Maldives,1990,9929426
Japan,Maldives,1991,12711385
Japan,Maldives,1992,9819401
Japan,Maldives,1993,4778762
Japan,Maldives,1994,21427612
Japan,Maldives,1995,2078632
Japan,Maldives,1996,21940470
Japan,Maldives,1998,31500598
Japan,Maldives,1999,2754638
Japan,Maldives,2000,10585865
Japan,Maldives,2001,9080204
Japan,Maldives,2002,7833386
Japan,Maldives,2003,4664997
Japan,Maldives,2004,4690482
Japan,Maldives,2005,30074285
Japan,Maldives,2006,39563185
Japan,Maldives,2007,11015326
Japan,Maldives,2008,4423439
Japan,Maldives,2009,11355215
Japan,Maldives,2010,19171139
Japan,Maldives,2011,2345575
Japan,Maldives,2012,5201919
Japan,Maldives,2013,2688962
Japan,Mali,1990,11895649
Japan,Mali,1991,3236399
Japan,Mali,1992,8478010
Japan,Mali,1993,8608031
Japan,Mali,1994,40114241
Japan,Mali,1995,66810144
Japan,Mali,1996,4011634
Japan,Mali,1997,54151516
Japan,Mali,1998,36708696
Japan,Mali,1999,5317836
Japan,Mali,2000,18807783
Japan,Mali,2001,20537001
Japan,Mali,2002,33440429
Japan,Mali,2003,15355247
Japan,Mali,2004,126974397
Japan,Mali,2005,29041440
Japan,Mali,2006,17675855
Japan,Mali,2007,27504014
Japan,Mali,2008,43159856
Japan,Mali,2009,57373292
Japan,Mali,2010,34588780
Japan,Mali,2011,20616132
Japan,Mali,2012,4611518
Japan,Mali,2013,40285839
Japan,Malta,2003,87524
Japan,Marshall Islands,1992,7073741
Japan,Marshall Islands,1993,3004986
Japan,Marshall Islands,1994,7972823
Japan,Marshall Islands,1995,6298882
Japan,Marshall Islands,1996,4940644
Japan,Marshall Islands,1997,15468864
Japan,Marshall Islands,1998,777015
Japan,Marshall Islands,1999,499876
Japan,Marshall Islands,2000,4846514
Japan,Marshall Islands,2001,87205
Japan,Marshall Islands,2002,646263
Japan,Marshall Islands,2003,11092862
Japan,Marshall Islands,2004,9314730
Japan,Marshall Islands,2005,5047379
Japan,Marshall Islands,2006,4016685
Japan,Marshall Islands,2007,2940759
Japan,Marshall Islands,2008,3013259
Japan,Marshall Islands,2009,22510484
Japan,Marshall Islands,2010,3097189
Japan,Marshall Islands,2011,3943643
Japan,Marshall Islands,2012,22260272
Japan,Marshall Islands,2013,1753438
Japan,Mauritania,1990,17095215
Japan,Mauritania,1991,7452237
Japan,Mauritania,1992,29049496
Japan,Mauritania,1993,56333046
Japan,Mauritania,1994,58300615
Japan,Mauritania,1995,55136215
Japan,Mauritania,1996,27975866
Japan,Mauritania,1997,14125570
Japan,Mauritania,1998,74503387
Japan,Mauritania,1999,20343378
Japan,Mauritania,2000,12914131
Japan,Mauritania,2001,27641668
Japan,Mauritania,2002,25609237
Japan,Mauritania,2003,12299047
Japan,Mauritania,2004,117670717
Japan,Mauritania,2005,22335566
Japan,Mauritania,2006,20866370
Japan,Mauritania,2007,24863788
Japan,Mauritania,2008,5613948
Japan,Mauritania,2009,6686823
Japan,Mauritania,2010,15721339
Japan,Mauritania,2011,15401759
Japan,Mauritania,2012,8095778
Japan,Mauritania,2013,28209167
Japan,Mauritius,1991,489718
Japan,Mauritius,1994,37894357
Japan,Mauritius,1995,2100222
Japan,Mauritius,1996,95012
Japan,Mauritius,1998,48162314
Japan,Mauritius,1999,488177
Japan,Mauritius,2000,96930
Japan,Mauritius,2001,98105
Japan,Mauritius,2002,8760036
Japan,Mauritius,2003,775163
Japan,Mauritius,2004,407516
Japan,Mauritius,2005,193055
Japan,Mauritius,2006,333643
Japan,Mauritius,2007,930520
Japan,Mauritius,2008,306343
Japan,Mauritius,2009,1441317
Japan,Mauritius,2010,86897786
Japan,Mauritius,2011,1430656
Japan,Mauritius,2012,4991922
Japan,Mauritius,2013,11152694
Japan,Mexico,1990,829046992
Japan,Mexico,1991,1064606
Japan,Mexico,1992,345900695
Japan,Mexico,1993,36445884
Japan,Mexico,1994,510678
Japan,Mexico,1995,140622545
Japan,Mexico,1996,393488476
Japan,Mexico,1997,473426982
Japan,Mexico,1998,1519525827
Japan,Mexico,1999,701954
Japan,Mexico,2000,239471671
Japan,Mexico,2001,1090061
Japan,Mexico,2002,362527062
Japan,Mexico,2003,1185712830
Japan,Mexico,2004,499068832
Japan,Mexico,2005,22093175
Japan,Mexico,2006,20197675
Japan,Mexico,2007,22334134
Japan,Mexico,2008,17857774
Japan,Mexico,2009,17806522
Japan,Mexico,2010,15573401
Japan,Mexico,2011,12190684
Japan,Mexico,2012,14680041
Japan,Mexico,2013,11022672
Japan,"Micronesia, Federated States of",1992,11621895
Japan,"Micronesia, Federated States of",1993,12040810
Japan,"Micronesia, Federated States of",1994,18968022
Japan,"Micronesia, Federated States of",1995,1228282
Japan,"Micronesia, Federated States of",1996,2649790
Japan,"Micronesia, Federated States of",1997,13202056
Japan,"Micronesia, Federated States of",1999,5711354
Japan,"Micronesia, Federated States of",2000,13053279
Japan,"Micronesia, Federated States of",2001,10006755
Japan,"Micronesia, Federated States of",2002,35190
Japan,"Micronesia, Federated States of",2003,10642377
Japan,"Micronesia, Federated States of",2004,9503133
Japan,"Micronesia, Federated States of",2005,4811250
Japan,"Micronesia, Federated States of",2006,14487815
Japan,"Micronesia, Federated States of",2007,5435607
Japan,"Micronesia, Federated States of",2008,40460739
Japan,"Micronesia, Federated States of",2009,13845329
Japan,"Micronesia, Federated States of",2010,3610593
Japan,"Micronesia, Federated States of",2011,4352466
Japan,"Micronesia, Federated States of",2012,8095648
Japan,"Micronesia, Federated States of",2013,28721884
Japan,"Middle East, Regional Programs",1996,32832054
Japan,"Middle East, Regional Programs",1997,493241
Japan,"Middle East, Regional Programs",2003,169469
Japan,"Middle East, Regional Programs",2004,790802
Japan,"Middle East, Regional Programs",2005,1732927
Japan,"Middle East, Regional Programs",2006,5436972
Japan,"Middle East, Regional Programs",2007,18607728
Japan,"Middle East, Regional Programs",2008,9058443
Japan,"Middle East, Regional Programs",2009,1790894
Japan,"Middle East, Regional Programs",2010,2940885
Japan,"Middle East, Regional Programs",2011,1226493
Japan,"Middle East, Regional Programs",2012,52169525
Japan,"Middle East, Regional Programs",2013,67214359
Japan,Moldova,1994,55372036
Japan,Moldova,1999,5371013
Japan,Moldova,2000,4092612
Japan,Moldova,2001,11573173
Japan,Moldova,2002,3780068
Japan,Moldova,2003,1833320
Japan,Moldova,2004,4335844
Japan,Moldova,2005,4655710
Japan,Moldova,2006,8500943
Japan,Moldova,2007,14032560
Japan,Moldova,2008,6497062
Japan,Moldova,2009,3016231
Japan,Moldova,2010,1012882
Japan,Moldova,2011,8145187
Japan,Moldova,2012,4016046
Japan,Moldova,2013,61957916
Japan,Mongolia,1990,5319725
Japan,Mongolia,1991,86616270
Japan,Mongolia,1992,40524676
Japan,Mongolia,1993,109233312
Japan,Mongolia,1994,39551455
Japan,Mongolia,1995,185859016
Japan,Mongolia,1996,24106751
Japan,Mongolia,1997,115365819
Japan,Mongolia,1998,100922666
Japan,Mongolia,1999,51108650
Japan,Mongolia,2000,87024016
Japan,Mongolia,2001,124935976
Japan,Mongolia,2002,54447617
Japan,Mongolia,2003,64010800
Japan,Mongolia,2004,71059315
Japan,Mongolia,2005,66789109
Japan,Mongolia,2006,126010637
Japan,Mongolia,2007,55818590
Japan,Mongolia,2008,377826879
Japan,Mongolia,2009,199488805
Japan,Mongolia,2010,102243031
Japan,Mongolia,2011,81250808
Japan,Mongolia,2012,70126493
Japan,Mongolia,2013,60949654
Japan,Montenegro,2006,5536665
Japan,Montenegro,2007,1961978
Japan,Montenegro,2008,3487869
Japan,Montenegro,2009,3314855
Japan,Montenegro,2010,8241283
Japan,Montenegro,2011,446287
Japan,Montenegro,2012,585160
Japan,Montenegro,2013,487826
Japan,Montserrat,2003,61153
Japan,Montserrat,2004,80900
Japan,Montserrat,2005,64320
